ASIN_Title,ASIN,Category,Impressions_Impressions,Impressions_Rating_Median,Impressions_Price_Median,Impressions_Same_Day_Shipping_Speed,Impressions_1D_Shipping_Speed,Impressions_2D_Shipping_Speed,Clicks_Clicks,Clicks_Click_Rate_CTR,Clicks_Price_Median,Clicks_Same_Day_Shipping_Speed,Clicks_1D_Shipping_Speed,Clicks_2D_Shipping_Speed,Cart_Adds_Cart_Adds,Cart_Adds_Price_Median,Cart_Adds_Same_Day_Shipping_Speed,Cart_Adds_1D_Shipping_Speed,Cart_Adds_2D_Shipping_Speed,Purchases_Purchases,Purchases_Search_Traffic_Sales,Purchases_Conversion_Rate,Purchases_Rating_Median,Purchases_Price_Median,Purchases_Same_Day_Shipping_Speed,Purchases_1D_Shipping_Speed,Purchases_2D_Shipping_Speed,Reporting_Date
"HAPPY LOLLI Purple LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B09XQ56RK5,Apparel,14237,,54.4,204,4420,3360,263,1.85,54.4,6,86,74,28,54.4,0,10,5,4,217.6,1.52,,54.4,0,1,2,2026-01-24
"HAPPY LOLLI White LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0C1VLXYBP,Apparel,4012501,,54.4,6926,1917675,1032807,2288,0.06,54.4,146,719,536,209,54.4,16,73,44,37,2010.08,1.62,,54.4,7,14,6,2026-01-24
"HAPPY LOLLI Pink LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0CR6N3WRC,Apparel,233,,54.4,0,0,0,4,1.72,54.4,0,0,0,1,54.4,0,0,0,0,0.0,0.0,,,0,0,0,2026-01-24
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Beige)",B0D7N2MLDP,Beauty,6405,,49.9,88,1750,1762,115,1.8,49.9,0,20,39,20,49.9,0,5,7,6,299.4,5.22,,49.9,0,4,1,2026-01-24
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Pink)",B0D7N31M6S,Beauty,944,,49.9,0,13,28,10,1.06,49.9,0,0,0,2,49.9,0,0,0,1,49.9,10.0,,49.9,0,0,0,2026-01-24
"HAPPY LOLLI Blue LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0DJFG5ZJ7,Apparel,1096,,54.4,31,275,302,27,2.46,54.4,1,5,5,1,54.4,0,0,1,1,54.4,3.7,,54.4,0,0,1,2026-01-24
"HAPPY LOLLI Truth or Dare Game – Fun Gift for Tween & Teen Girls Ages 10 and Up – Screen-Free Party & Family Fun Game for Sleepovers, Birthdays, Holidays, BFF Nights – 60 Truths & Dares",B0F4KCCSWN,Toys,38989,,29.9,546,17312,9546,697,1.79,29.9,5,306,178,152,29.9,1,62,47,22,657.8,3.16,,29.9,0,12,7,2026-01-24
"HAPPY LOLLI Mint LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9X95K5H,Home,18681,,32.99,98,3148,3545,221,1.18,32.99,0,46,46,51,32.99,0,12,12,13,428.87,5.88,,32.99,0,2,5,2026-01-24
"HAPPY LOLLI Purple LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XDSVYB,Home,51689,,32.99,597,11766,10151,696,1.35,32.99,8,155,136,197,32.99,2,46,43,15,527.84,2.16,,32.99,0,7,3,2026-01-24
"HAPPY LOLLI Pink LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XFXQRW,Home,18247,,32.99,412,5910,3998,247,1.35,32.99,7,85,47,59,32.99,2,18,16,9,329.9,3.64,,32.99,2,1,1,2026-01-24
