ASIN_Title,ASIN,Category,Impressions_Impressions,Impressions_Rating_Median,Impressions_Price_Median,Impressions_Same_Day_Shipping_Speed,Impressions_1D_Shipping_Speed,Impressions_2D_Shipping_Speed,Clicks_Clicks,Clicks_Click_Rate_CTR,Clicks_Price_Median,Clicks_Same_Day_Shipping_Speed,Clicks_1D_Shipping_Speed,Clicks_2D_Shipping_Speed,Cart_Adds_Cart_Adds,Cart_Adds_Price_Median,Cart_Adds_Same_Day_Shipping_Speed,Cart_Adds_1D_Shipping_Speed,Cart_Adds_2D_Shipping_Speed,Purchases_Purchases,Purchases_Search_Traffic_Sales,Purchases_Conversion_Rate,Purchases_Rating_Median,Purchases_Price_Median,Purchases_Same_Day_Shipping_Speed,Purchases_1D_Shipping_Speed,Purchases_2D_Shipping_Speed,Reporting_Date
"HAPPY LOLLI Purple LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B09XQ56RK5,Apparel,16258,,54.4,314,5205,5981,381,2.34,54.4,9,119,148,36,54.4,1,8,13,5,272.0,1.31,,54.4,0,2,2,2026-01-10
"HAPPY LOLLI White LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0C1VLXYBP,Apparel,2939672,,54.4,9703,1498000,994146,2859,0.1,54.4,261,919,960,255,54.4,23,84,81,30,1686.4,1.05,,54.4,4,13,8,2026-01-10
"HAPPY LOLLI Pink LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0CR6N3WRC,Apparel,918,,54.4,0,0,0,19,2.07,54.4,0,0,0,1,54.4,0,0,0,0,0.0,0.0,,,0,0,0,2026-01-10
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Beige)",B0D7N2MLDP,Beauty,8188,,49.9,153,2765,3017,207,2.53,49.9,3,63,80,25,49.9,0,9,8,7,349.3,3.38,,49.9,0,3,3,2026-01-10
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Pink)",B0D7N31M6S,Beauty,1644,,49.9,0,0,1,18,1.09,49.9,0,0,1,2,49.9,0,0,0,0,0.0,0.0,,,0,0,0,2026-01-10
"HAPPY LOLLI Blue LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0DJFG5ZJ7,Apparel,1842,,54.4,42,580,729,53,2.88,54.4,0,19,23,2,54.4,0,0,1,1,54.4,1.89,,54.4,0,0,0,2026-01-10
"HAPPY LOLLI Truth or Dare Game – Fun Gift for Tween & Teen Girls Ages 10 and Up – Screen-Free Party & Family Fun Game for Sleepovers, Birthdays, Holidays, BFF Nights – 60 Truths & Dares",B0F4KCCSWN,Toys,50458,,29.9,701,17244,22385,1098,2.18,29.9,18,394,485,271,29.9,5,101,111,28,837.2,2.55,,29.9,0,11,15,2026-01-10
"HAPPY LOLLI Mint LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9X95K5H,Home,21304,,32.99,328,4864,7046,357,1.68,32.99,6,85,117,72,32.99,1,22,23,14,461.86,3.92,,32.99,0,8,3,2026-01-10
"HAPPY LOLLI Purple LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XDSVYB,Home,48726,,32.99,1002,15340,18662,719,1.48,32.99,16,226,265,153,32.99,1,60,48,13,428.87,1.81,,32.99,1,8,1,2026-01-10
"HAPPY LOLLI Pink LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XFXQRW,Home,7576,,32.99,199,2444,2183,165,2.18,32.99,3,44,50,28,32.99,0,9,8,2,65.98,1.21,,32.99,0,1,0,2026-01-10
