campaign_name,negative_keyword,spend_30d
BOX-SP/BROAD-(white- gift for girl),birthday gifts for girls turning 9,1.96
BOX-SP/BROAD-(white- gift for girl),valentine gifts for girls,1.95
BOX-SP/BROAD-(white- gift for girl),ten year old girl gifts,1.92
BOX-SP/BROAD-(white- gift for girl),fun tween girl gifts,1.92
BOX-SP/BROAD-(white- gift for girl),valentines day gifts for teenage girls,1.84
BOX-SP/BROAD-(white- gift for girl),valentine's day gifts for teen girls,1.84
BOX-SP/BROAD-(white- gift for girl),14 year old girl gifts,1.84
BOX-SP/BROAD-(white- gift for girl),tween gifts 10-12 girls trendy,1.84
BOX-SP/BROAD-(white- gift for girl),gift basket for teenage girl,1.72
BOX-SP/BROAD-(white- gift for girl),gift box for girls,1.7
BOX-SP/BROAD-(white- gift for girl),birthday gifts for preteeens girls,1.68
BOX-SP/BROAD-(white- gift for girl),valentine gift for girls,1.68
BOX-SP/BROAD-(white- gift for girl),gifts for girls 12-14,1.68
BOX-SP/BROAD-(white- gift for girl),gift for 9 year old girl,1.66
BOX-SP/BROAD-(white- gift for girl),youth girls gifts,1.64
BOX-SP/BROAD-(white- gift for girl),best gift 8 year old girl,1.6
BOX-SP/BROAD-(white- gift for girl),teenage girl gift basket,1.6
BOX-SP/BROAD-(white- gift for girl),valentine gifts for teenage girls,1.6
BOX-SP/BROAD-(white- gift for girl),gifts for tween girls 10-12,1.6
BOX-SP/BROAD-(white- gift for girl),sephora gift sets for teenage girls,1.6
BOX-SP/BROAD-(white- gift for girl),teen valentines gifts for girls,1.57
BOX-SP/BROAD-(white- gift for girl),pre made gift baskets teen girl birthday,1.55
BOX-SP/BROAD-(white- gift for girl),14th birthday gifts for girls,1.54
BOX-SP/BROAD-(white- gift for girl),gift for teenage girl,1.53
BOX-SP/BROAD-(white- gift for girl),gift for 8 year old girl,1.52
BOX-SP/BROAD-(white- gift for girl),happy birthday gift box for teen girl,1.46
